league,year,split,patch,side,position,golddiffat25,xpdiffat25,csdiffat25,kills,assists,deaths,opp_killsat25,opp_assistsat25,opp_deathsat25
0,2025,5,15.01,0,1,-12.0,-1460.0,-37.0,1,9,2,0.0,0.0,0.0
10,2025,4,15.01,1,2,0.0,0.0,0.0,6,11,2,0.0,0.0,0.0
3,2025,3,15.01,0,1,371.0,176.0,8.0,2,19,6,0.0,0.0,0.0
14,2025,5,15.01,0,1,-4522.0,-4777.0,-78.0,1,2,4,0.0,0.0,0.0
2,2025,0,15.01,1,3,1179.0,-348.0,-11.0,2,18,3,0.0,0.0,0.0
3,2025,3,15.01,0,3,-1143.0,-248.0,10.0,1,3,1,0.0,9.0,0.0
10,2025,4,15.01,0,4,0.0,0.0,0.0,17,41,20,0.0,0.0,0.0
2,2025,0,15.01,0,3,-292.0,-326.0,0.0,0,13,7,0.0,0.0,0.0
0,2025,5,15.01,1,5,-397.0,596.0,-7.0,1,10,2,0.0,0.0,0.0
2,2025,0,15.01,0,5,2001.0,4172.0,66.0,7,12,2,0.0,0.0,0.0
7,2025,5,15.01,1,3,-125.0,-344.0,1.0,1,14,4,0.0,0.0,0.0
14,2025,5,15.01,1,4,7216.0,5379.0,82.0,17,38,9,0.0,0.0,0.0
4,2025,4,15.01,1,3,0.0,0.0,0.0,1,12,2,0.0,0.0,0.0
0,2025,5,15.01,0,2,-2393.0,-2094.0,-23.0,0,0,6,0.0,0.0,0.0
0,2025,5,15.01,0,4,-348.0,-483.0,-73.0,18,42,4,0.0,0.0,0.0
13,2025,5,15.01,0,3,-204.0,-1547.0,-3.0,0,3,6,0.0,0.0,0.0
10,2025,4,15.02,1,5,0.0,0.0,0.0,2,6,2,0.0,0.0,0.0
5,2025,5,15.02,0,4,1155.0,599.0,-23.0,18,45,8,0.0,0.0,0.0
2,2025,0,15.01,0,4,2064.0,131.0,72.0,23,56,13,0.0,0.0,0.0
3,2025,3,15.01,1,2,1415.0,2123.0,22.0,3,6,0,1.0,2.0,0.0
5,2025,5,15.02,0,2,310.0,261.0,22.0,1,3,3,0.0,0.0,0.0
3,2025,3,15.01,1,1,32.0,-110.0,15.0,2,5,3,0.0,0.0,0.0
5,2025,5,15.01,0,0,-9.0,-1601.0,-10.0,5,7,2,0.0,0.0,0.0
2,2025,0,15.01,1,2,674.0,1615.0,17.0,7,10,0,0.0,0.0,0.0
14,2025,5,15.01,0,0,2907.0,1606.0,31.0,9,9,1,0.0,0.0,0.0
13,2025,5,15.01,1,1,283.0,1117.0,32.0,4,3,2,0.0,0.0,0.0
15,2025,5,15.01,1,5,220.0,-1128.0,38.0,0,1,5,0.0,0.0,0.0
10,2025,4,15.01,1,1,0.0,0.0,0.0,4,13,6,0.0,0.0,0.0
3,2025,3,15.01,0,2,-1399.0,-900.0,-28.0,4,14,6,0.0,0.0,0.0
9,2025,2,15.02,0,4,-9757.0,-7190.0,-38.0,14,38,26,0.0,0.0,0.0
15,2025,5,15.02,0,1,-1311.0,-1631.0,-13.0,3,9,6,0.0,0.0,0.0
0,2025,5,15.01,0,1,-3173.0,-3735.0,-76.0,0,2,7,0.0,0.0,0.0
3,2025,3,15.01,0,4,4306.0,3211.0,106.0,27,72,18,0.0,0.0,0.0
13,2025,5,15.01,1,3,52.0,858.0,-9.0,0,6,2,0.0,0.0,0.0
6,2025,1,15.01,0,2,-412.0,-1198.0,-12.0,1,5,4,0.0,0.0,0.0
10,2025,4,15.01,1,2,0.0,0.0,0.0,4,12,2,0.0,0.0,0.0
16,2025,5,15.02,1,0,-523.0,-419.0,-17.0,2,4,3,0.0,0.0,0.0
17,2025,5,15.01,1,2,-1070.0,-615.0,-10.0,1,2,3,0.0,0.0,0.0
9,2025,2,15.02,0,2,1687.0,610.0,-25.0,11,6,1,0.0,0.0,0.0
2,2025,0,15.01,0,0,1405.0,104.0,22.0,8,3,0,0.0,0.0,0.0
14,2025,5,15.02,0,4,7541.0,4265.0,92.0,14,29,11,0.0,0.0,0.0
13,2025,5,15.02,1,2,-101.0,-27.0,9.0,2,11,0,0.0,0.0,0.0
3,2025,3,15.01,0,0,681.0,-102.0,14.0,7,12,4,0.0,0.0,0.0
10,2025,4,15.02,1,4,0.0,0.0,0.0,14,32,21,0.0,0.0,0.0
7,2025,5,15.01,0,5,129.0,-366.0,-33.0,5,15,4,0.0,0.0,0.0
3,2025,3,15.01,0,5,-2022.0,-3473.0,-23.0,0,1,4,1.0,3.0,0.0
9,2025,2,15.02,0,5,-424.0,-645.0,-13.0,2,7,6,0.0,0.0,0.0
4,2025,4,15.02,0,1,-248.0,-1001.0,-8.0,2,7,6,0.0,0.0,0.0
7,2025,5,15.01,1,1,-91.0,-616.0,7.0,2,9,5,0.0,0.0,0.0
4,2025,4,15.02,0,3,333.0,1007.0,-4.0,2,13,2,0.0,0.0,0.0
11,2025,4,15.02,1,1,2026.0,3158.0,50.0,6,8,2,0.0,0.0,0.0
6,2025,1,15.01,0,4,11983.0,11571.0,62.0,34,78,11,0.0,0.0,0.0
13,2025,5,15.01,1,1,561.0,434.0,18.0,6,10,0,0.0,0.0,0.0
6,2025,1,15.01,1,2,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0
0,2025,5,15.01,1,3,-716.0,-59.0,16.0,1,15,3,0.0,0.0,0.0
9,2025,2,15.02,0,1,942.0,998.0,-4.0,7,11,6,0.0,0.0,0.0
7,2025,5,15.01,0,2,95.0,-1821.0,9.0,2,0,5,0.0,0.0,0.0
15,2025,5,15.01,0,0,301.0,-296.0,-43.0,5,10,3,0.0,0.0,0.0
1,2025,6,15.01,0,1,2385.0,896.0,8.0,3,11,1,0.0,0.0,0.0
4,2025,4,15.01,0,0,-3727.0,-1919.0,-31.0,7,9,2,0.0,0.0,0.0
0,2025,5,15.02,1,0,-3369.0,-1130.0,-16.0,6,6,6,0.0,0.0,0.0
6,2025,1,15.01,1,5,-950.0,-1354.0,-27.0,4,9,7,0.0,0.0,0.0
14,2025,5,15.01,1,3,-2266.0,-370.0,5.0,1,6,7,0.0,0.0,0.0
5,2025,5,15.01,1,3,-299.0,-105.0,-1.0,0,6,5,0.0,0.0,0.0
9,2025,2,15.02,1,4,0.0,0.0,0.0,0,0,21,0.0,0.0,0.0
0,2025,5,15.02,0,4,-356.0,2202.0,28.0,14,38,18,0.0,0.0,0.0
10,2025,4,15.01,1,4,0.0,0.0,0.0,14,24,20,0.0,0.0,0.0
4,2025,4,15.02,0,0,-702.0,-2231.0,-32.0,8,2,5,0.0,0.0,0.0
10,2025,4,15.02,1,5,0.0,0.0,0.0,2,4,1,0.0,0.0,0.0
7,2025,5,15.01,0,2,1954.0,925.0,-16.0,18,6,1,0.0,0.0,0.0
2,2025,0,15.01,0,3,791.0,565.0,0.0,0,9,3,0.0,0.0,0.0
1,2025,6,15.01,1,5,-2378.0,-2067.0,-32.0,3,1,4,0.0,0.0,0.0
5,2025,5,15.01,1,2,463.0,1003.0,-1.0,7,0,4,0.0,0.0,0.0
15,2025,5,15.01,0,2,848.0,214.0,-30.0,6,3,2,0.0,0.0,0.0
17,2025,5,15.02,1,3,-1018.0,-1624.0,4.0,0,1,4,0.0,0.0,0.0
13,2025,5,15.02,0,0,-898.0,-1433.0,-8.0,1,10,3,0.0,0.0,0.0
2,2025,0,15.01,0,3,173.0,-775.0,14.0,1,14,1,0.0,0.0,0.0
12,2025,4,15.02,0,5,1987.0,2088.0,9.0,2,11,1,0.0,0.0,0.0
10,2025,4,15.02,0,4,0.0,0.0,0.0,10,30,20,0.0,0.0,0.0
10,2025,4,15.02,1,4,0.0,0.0,0.0,20,45,10,0.0,0.0,0.0
3,2025,3,15.01,0,5,1049.0,-185.0,-11.0,2,2,1,0.0,0.0,0.0
10,2025,4,15.01,1,3,0.0,0.0,0.0,1,12,1,0.0,0.0,0.0
3,2025,3,15.01,0,4,-2712.0,-697.0,-61.0,4,13,9,3.0,8.0,3.0
10,2025,4,15.01,1,0,0.0,0.0,0.0,2,8,5,0.0,0.0,0.0
0,2025,5,15.02,0,0,-453.0,-209.0,10.0,6,7,3,0.0,0.0,0.0
2,2025,0,15.01,0,3,0.0,0.0,0.0,2,5,6,0.0,0.0,0.0
4,2025,4,15.01,1,1,1772.0,2283.0,31.0,4,10,3,0.0,0.0,0.0
